metric,value,description
strategy,B (Dedicated CNN),Strategy B - trained exclusively on synonymous variants
loss,CrossEntropyLoss,with class weights [1.0 n_neg/n_pos]
folds,5,stratified by gene
subsample_ratio,1:20,benign subsampled to reduce imbalance
mean_auc,0.683,5-fold mean AUC-ROC
std_auc,0.018,5-fold standard deviation
focal_loss_auc,0.677,Focal Loss gamma=2.0 variant
focal_loss_std,0.021,Focal Loss standard deviation
total_variants,130784,641 pathogenic + 130143 benign
genes_total,450,approximate gene count
architecture,EnergySignalCNN,9ch input 227522 params
epochs,50,with early stopping patience=10
learning_rate,0.001,Adam optimizer
dropout,0.3,applied to all layers
